database_id,disease_name,qualifier,hpo_id,reference,evidence,onset,frequency,sex,modifier,aspect,biocuration,creation_date
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0001396,PMID:16855267,PCS,,0/1,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0003112,PMID:16855267,PCS,,0/3,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0002024,PMID:16855267,PCS,,2/2,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0001992,PMID:16855267,PCS,,0/3,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:6001346,PMID:16855267,PCS,,3/3,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0001392,PMID:16855267,PCS,,1/1,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0002041,PMID:16855267,PCS,,2/3,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0003074,PMID:16855267,PCS,,2/3,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0031961,PMID:16855267,PCS,,0/1,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0031686,PMID:16855267,PCS,,1/2,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0100806,PMID:16855267,PCS,,1/1,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0001403,PMID:16855267,PCS,,1/1,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0003689,PMID:16855267,PCS,,0/2,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0002630,PMID:16855267,PCS,,1/1,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0002155,PMID:16855267,PCS,,0/3,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0025130,PMID:16855267,PCS,,0/3,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0003124,PMID:16855267,PCS,,0/3,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0003542,PMID:16855267,PCS,,0/2,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0002151,PMID:16855267,PCS,,0/2,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0001081,PMID:16855267,PCS,,1/3,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0001281,PMID:16855267,PCS,,1/1,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0012236,PMID:16855267,PCS,,0/3,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0012115,PMID:16855267,PCS,,1/1,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0002748,PMID:16855267,PCS,,1/1,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0001414,PMID:16855267,PCS,,1/1,,,P,ORCID:0000-0002-0736-9199[2026-01-13],2026-01-13
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0002069,PMID:36729635;PMID:22956686,PCS,,4/19,,,P,HPO:probinson[2024-04-27];ORCID:0000-0002-0736-9199[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0002463,PMID:36729635,PCS,,17/17,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0001332,PMID:36729635,PCS,,2/10,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0001252,PMID:36729635,PCS,,5/17,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0001251,PMID:36729635,PCS,,1/20,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0011182,PMID:36729635;PMID:22956686,PCS,,17/24,,,P,HPO:probinson[2024-04-27];ORCID:0000-0002-0736-9199[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000518,PMID:22956686,PCS,,1/1,,,P,ORCID:0000-0002-0736-9199[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000958,PMID:36729635,PCS,,2/17,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000718,PMID:36729635,PCS,,8/18,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000711,PMID:36729635,PCS,,6/21,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000752,PMID:36729635,PCS,,5/21,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000253,PMID:36729635,PCS,,17/20,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0002312,PMID:36729635,PCS,,12/15,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000252,PMID:22956686,PCS,,3/6,,,P,ORCID:0000-0002-0736-9199[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0011968,PMID:36729635,PCS,,5/20,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000293,PMID:36729635,PCS,,4/21,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0002197,PMID:36729635,PCS,,9/21,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0001263,PMID:36729635;PMID:22956686,PCS,,27/27,,,P,HPO:probinson[2024-04-27];ORCID:0000-0002-0736-9199[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0500194,PMID:36729635,PCS,,20/21,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0011171,PMID:22956686,PCS,,3/3,,,P,ORCID:0000-0002-0736-9199[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0500190,PMID:36729635,PCS,,19/21,,,P,HPO:probinson[2024-04-27];HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000407,PMID:36729635,PCS,,3/21,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000729,PMID:36729635;PMID:22956686,PCS,,20/25,,,P,HPO:probinson[2024-04-27];ORCID:0000-0002-0736-9199[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0007359,PMID:36729635,PCS,,1/21,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000126,PMID:36729635,PCS,,1/17,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0002487,PMID:36729635,PCS,,1/20,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0002123,PMID:36729635,PCS,,1/18,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0001271,PMID:36729635,PCS,,2/17,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0001270,PMID:36729635;PMID:22956686,PCS,,26/26,,,P,HPO:probinson[2024-04-27];ORCID:0000-0002-0736-9199[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0010864,PMID:36729635,PCS,,15/16,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0011123,PMID:36729635,PCS,,3/17,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000219,PMID:36729635,PCS,,4/21,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0500188,PMID:36729635,PCS,,20/21,,,P,HPO:probinson[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0500144,PMID:36729635;PMID:22956686,PCS,,25/27,,,P,HPO:probinson[2024-04-27];ORCID:0000-0002-0736-9199[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0500143,PMID:36729635;PMID:22956686,PCS,,26/27,,,P,HPO:probinson[2024-04-27];ORCID:0000-0002-0736-9199[2024-04-27],2024-04-27
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0001347,PMID:36729635;PMID:22956686,PCS,,7/19,,,P,HPO:probinson[2024-04-27];ORCID:0000-0002-0736-9199[2024-04-27],2024-04-27
