database_id,disease_name,qualifier,hpo_id,reference,evidence,onset,frequency,sex,modifier,aspect,biocuration,creation_date
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0001508,PMID:16855267,PCS,,1/1,,,P,HPO:iea[2009-02-17];HPO:probinson[2026-01-13],2009-02-17
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0004918,PMID:16855267,PCS,,3/3,,,P,HPO:iea[2009-02-17];HPO:probinson[2026-01-13],2009-02-17
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0001944,PMID:16855267,PCS,,3/3,,,P,HPO:iea[2009-02-17];HPO:probinson[2026-01-13],2009-02-17
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0003623,PMID:16855267,PCS,,3/3,,,C,HPO:iea[2009-02-17];HPO:probinson[2026-01-13],2009-02-17
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0002014,PMID:16855267,PCS,,,,,P,HPO:skoehler[2009-02-17];HPO:probinson[2026-01-13],2009-02-17
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0002013,PMID:16855267,PCS,,1/1,,,P,HPO:iea[2009-02-17];HPO:probinson[2026-01-13],2009-02-17
OMIM:610370,"Diarrhea 4, malabsorptive, congenital",,HP:0000007,PMID:16855267,PCS,,,,,I,HPO:iea[2009-02-17];HPO:probinson[2026-01-13],2009-02-17
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0001250,PMID:36729635;PMID:22956686,PCS,,11/25,,,P,HPO:skoehler[2013-01-11];HPO:probinson[2024-04-27];ORCID:0000-0002-0736-9199[2024-04-27],2013-01-11
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0000717,PMID:36729635,PCS,,11/19,,,P,HPO:skoehler[2013-01-09];HPO:probinson[2024-04-27],2013-01-09
OMIM:614923,Branched-chain keto acid dehydrogenase kinase deficiency,,HP:0001249,PMID:36729635;PMID:22956686,PCS,,22/22,,,P,HPO:skoehler[2013-01-11];HPO:probinson[2024-04-27];ORCID:0000-0002-0736-9199[2024-04-27],2013-01-11
OMIM:256500,Netherton syndrome,,HP:0100806,PMID:28289593;PMID:24506793;PMID:19683336;PMID:15656819;PMID:39036217,PCS,,7/11,,,P,HPO:probinson[2023-06-07];ORCID:0000-0002-0736-9199[2025-11-03],2023-06-07
OMIM:256500,Netherton syndrome,,HP:0004315,PMID:28289593,PCS,,1/1,,,P,HPO:skoehler[2019-09-07];HPO:probinson[2025-11-03],2019-09-07
