OMIM:142900	Holt-Oram syndrome		HP:0011939	PMID:10842287	PCS		1/3			P	HPO:probinson[2024-07-22]
OMIM:142900	Holt-Oram syndrome		HP:0000882	PMID:17534187;PMID:12789647	PCS		2/2			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0005773	PMID:16917909	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0031546	PMID:10077612	PCS		14/36			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0010567	PMID:18706711	PCS		3/3			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0009460	PMID:10842287	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0000914	PMID:18706711	PCS		3/3			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0009623	PMID:17534187;PMID:18351627	PCS		3/3			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0000878	PMID:17534187;PMID:20519243	PCS		2/2			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0009622	PMID:22190901	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0040019	OMIM:142900	PCS		33/55			P	HPO:iea[2018-03-13]
OMIM:142900	Holt-Oram syndrome		HP:0200021	PMID:20519243	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0001688	PMID:22190901;PMID:25216260;PMID:29755943	PCS		3/3			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0004058	PMID:20519243	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0005301	PMID:10077612;PMID:34490705;PMID:20519243;PMID:36444245	PCS		4/39			P	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0003363	PMID:12789647	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0011927	PMID:8730285;PMID:16917909	PCS		31/58			P	HPO:iea[2018-03-13];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0011643	PMID:25216260;PMID:15710732;PMID:24408148;PMID:27026770;PMID:18351627;PMID:27652283;PMID:26401820;PMID:29755943;PMID:26219450;PMID:16917909;PMID:10842287;PMID:10077612;PMID:17534187;PMID:34490705;PMID:30538526;PMID:18706711;PMID:20519243;PMID:33866394;PMID:22190901;PMID:12789647;PMID:12818525;PMID:18828908;PMID:27552067;PMID:36444245;PMID:28434921	PCS		1/153			P	ORCID:0000-0002-0736-9199[2024-07-20]
OMIM:142900	Holt-Oram syndrome		HP:0010035	PMID:34490705;PMID:16917909;PMID:18351627	PCS		3/3			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0100379	PMID:18351627	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0000767	PMID:22190901;PMID:24408148;PMID:18706711;PMID:8730285	PCS		24/61			P	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2018-03-13];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0009577	PMID:18351627	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0004209	PMID:12789647;PMID:18351627	PCS		2/2			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0002943	OMIM:142900	IEA					P	HPO:iea[2009-02-17]
OMIM:142900	Holt-Oram syndrome		HP:0000006	PMID:12789647;PMID:8730285	PCS		20/20			I	ORCID:0000-0002-0736-9199[2024-07-20];HPO:iea[2009-02-17]
OMIM:142900	Holt-Oram syndrome		HP:0004602	PMID:12789647	PCS		1/1			P	ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0003577	PMID:10077612;PMID:27652283;PMID:30538526;PMID:27552067;PMID:18706711;PMID:27026770;PMID:36444245;PMID:28434921;PMID:26219450;PMID:33866394	PCS		51/52			C	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
OMIM:142900	Holt-Oram syndrome		HP:0010704	PMID:12789647;PMID:34490705;PMID:27552067;PMID:33866394	PCS		5/5			P	ORCID:0000-0002-0736-9199[2024-07-20];ORCID:0000-0002-0736-9199[2024-04-01]
