OMIM:615829	Xia-Gibbs syndrome		HP:0001263	PMID:29696776	PCS		20/20			P	LLM:claude-sonnet-4-6-agentic[2026-06-15]
OMIM:615829	Xia-Gibbs syndrome		HP:0001249	PMID:33644933	PCS		27/34			P	LLM:claude-sonnet-4-6-agentic[2026-06-15]
OMIM:615829	Xia-Gibbs syndrome		HP:0001249	PMID:40501103	PCS		16/16			P	LLM:claude-sonnet-4-6-agentic[2026-06-15]
OMIM:615829	Xia-Gibbs syndrome		HP:0001252	PMID:33644933	PCS		27/34			P	LLM:claude-sonnet-4-6-agentic[2026-06-15]
OMIM:615829	Xia-Gibbs syndrome		HP:0001252	PMID:40501103	PCS		16/16			P	LLM:claude-sonnet-4-6-agentic[2026-06-15]
OMIM:615829	Xia-Gibbs syndrome		HP:0000750	PMID:33644933	PCS		27/34			P	LLM:claude-sonnet-4-6-agentic[2026-06-15]
OMIM:615829	Xia-Gibbs syndrome		HP:0000750	PMID:40501103	PCS		15/16			P	LLM:claude-sonnet-4-6-agentic[2026-06-15]
OMIM:615829	Xia-Gibbs syndrome		HP:0001270	PMID:33644933	PCS		27/34			P	LLM:claude-sonnet-4-6-agentic[2026-06-15]
OMIM:615829	Xia-Gibbs syndrome		HP:0001270	PMID:40501103	PCS		16/16			P	LLM:claude-sonnet-4-6-agentic[2026-06-15]
OMIM:615829	Xia-Gibbs syndrome		HP:0000729	PMID:40501103	PCS		13/15			P	LLM:claude-sonnet-4-6-agentic[2026-06-15]
OMIM:615829	Xia-Gibbs syndrome		HP:0001999	PMID:40501103	PCS		16/16			P	LLM:claude-sonnet-4-6-agentic[2026-06-15]
